label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
INTL_ACTORS,iran,modern,False,-0.6026,1.5079,0.6621,0,0,
INTL_ACTORS,iran,ancient,False,-0.6026,0.5733,0.5064,0,0,
INTL_ACTORS,iran,modern,False,-0.8026,1.5079,0.6621,0,0,
INTL_ACTORS,iran,ancient,False,-0.8026,0.5733,0.5064,0,0,
INTL_ACTORS,iran,modern,False,-0.8026,1.5079,0.6621,0,0,
INTL_ACTORS,iran,ancient,False,-0.8026,0.5733,0.5064,0,0,
INTL_ACTORS,iran,modern,False,-0.8026,1.5079,0.6621,0,0,
INTL_ACTORS,iran,ancient,False,-0.8026,0.5733,0.5064,0,0,
INTL_ACTORS,iran,ephemeral,False,-0.5043,-1.2456,0.7362,0,0,
INTL_ACTORS,iran,modern,False,-0.7937,1.5079,0.6621,0,0,
INTL_ACTORS,iran,ancient,False,-0.7937,0.5733,0.5064,0,0,
INTL_ACTORS,iran,modern,False,-0.7937,1.5079,0.6621,0,0,
INTL_ACTORS,iran,ancient,False,-0.7937,0.5733,0.5064,0,0,
INTL_ACTORS,iran,modern,False,0.0,1.5079,0.6621,0,0,
INTL_ACTORS,iran,modern,False,-0.8115,1.5079,0.6621,0,0,
INTL_ACTORS,un,ancient,False,-0.8115,0.5733,0.5064,0,0,
INTL_ACTORS,un,authoritarian,False,-0.7467,-1.3877,-2.0163,0,0,
INTL_ACTORS,un,authoritarian,False,-0.5066,-1.3877,-2.0163,0,0,
INTL_ACTORS,un,stable,False,-0.5066,0.7608,0.5337,0,0,
INTL_ACTORS,un,authoritarian,False,-0.5066,-1.3877,-2.0163,0,0,
INTL_ACTORS,un,communist,False,-0.5066,-0.732,-1.6154,0,0,
INTL_ACTORS,un,fascist,False,-0.5066,-0.9155,-2.6479,0,0,
PAL_POLITICAL,pa,ungoverned,False,-0.7754,-2.0874,-1.1072,0,0,
INTL_ACTORS,iran,stable,False,0.5824,0.7608,0.5337,0,0,
INTL_ACTORS,iran,unified,False,0.5824,1.4447,0.2842,0,0,
INTL_ACTORS,iran,predictable,False,0.5824,-0.906,-0.0125,0,0,
INTL_ACTORS,un,domestic,False,0.0,0.3028,-0.4336,0,0,
INTL_ACTORS,iran,oppressed,False,0.5295,-1.605,-0.0015,0,0,
INTL_ACTORS,un,untested,False,0.67,-1.7335,-0.5239,0,0,
PAL_POLITICAL,pa,sharp,False,0.0,0.5591,0.1951,0,0,
